case	rep	j	r	k	guesses
10 	 17 	 98 	 13 	 5 	 [3, 5]
10 	 18 	 193 	 4 	 3 	 [3, 5]
10 	 19 	 149 	 12 	 7 	 [3, 5]
10 	 20 	 80 	 13 	 4 	 [3, 5]
10 	 21 	 173 	 3 	 2 	 [1, 3]
10 	 22 	 0 	 0 	 0 	 [0, 0]
10 	 23 	 245 	 15 	 14 	 [1, 3]
10 	 24 	 66 	 4 	 1 	 [3, 5]
10 	 25 	 170 	 3 	 2 	 [1, 3]
10 	 26 	 73 	 7 	 2 	 [1, 3]
10 	 27 	 40 	 13 	 2 	 [3, 5]
10 	 28 	 5 	 1 	 0 	 [15, 1]
10 	 29 	 128 	 2 	 1 	 [1, 3]
10 	 30 	 68 	 15 	 4 	 [1, 3]
10 	 31 	 209 	 11 	 9 	 [1, 3]
10 	 32 	 248 	 1 	 1 	 [15, 1]
10 	 33 	 69 	 15 	 4 	 [1, 3]
10 	 34 	 169 	 3 	 2 	 [1, 3]
10 	 35 	 196 	 13 	 10 	 [3, 5]
10 	 36 	 99 	 13 	 5 	 [3, 5]
10 	 37 	 216 	 13 	 11 	 [3, 5]
10 	 38 	 201 	 14 	 11 	 [1, 3]
10 	 39 	 236 	 13 	 12 	 [3, 5]
10 	 40 	 197 	 13 	 10 	 [3, 5]
10 	 41 	 65 	 4 	 1 	 [3, 5]
10 	 42 	 158 	 13 	 8 	 [3, 5]
10 	 43 	 192 	 4 	 3 	 [3, 5]
10 	 44 	 186 	 11 	 8 	 [1, 3]
10 	 45 	 24 	 11 	 1 	 [1, 3]
10 	 46 	 70 	 11 	 3 	 [1, 3]
10 	 47 	 215 	 13 	 11 	 [3, 5]
10 	 48 	 166 	 14 	 9 	 [1, 3]
10 	 49 	 102 	 5 	 2 	 [3, 5]
11 	 0 	 128 	 2 	 1 	 [1, 3]
11 	 1 	 11 	 15 	 1 	 [1, 3]
11 	 2 	 225 	 8 	 7 	 [15, 1]
11 	 3 	 235 	 12 	 11 	 [3, 5]
11 	 4 	 224 	 8 	 7 	 [15, 1]
11 	 5 	 244 	 15 	 14 	 [1, 3]
11 	 6 	 9 	 15 	 1 	 [1, 3]
11 	 7 	 28 	 9 	 1 	 [15, 1]
11 	 8 	 116 	 11 	 5 	 [1, 3]
11 	 9 	 100 	 13 	 5 	 [3, 5]
11 	 10 	 59 	 13 	 3 	 [3, 5]
11 	 11 	 84 	 3 	 1 	 [1, 3]
11 	 12 	 60 	 13 	 3 	 [3, 5]
11 	 13 	 182 	 7 	 5 	 [1, 3]
11 	 14 	 211 	 11 	 9 	 [1, 3]
11 	 15 	 133 	 15 	 8 	 [1, 3]
11 	 16 	 96 	 8 	 3 	 [15, 1]
11 	 17 	 135 	 15 	 8 	 [1, 3]
11 	 18 	 163 	 11 	 7 	 [1, 3]
11 	 19 	 70 	 11 	 3 	 [1, 3]
11 	 20 	 17 	 15 	 1 	 [1, 3]
11 	 21 	 160 	 8 	 5 	 [15, 1]
11 	 22 	 132 	 2 	 1 	 [1, 3]
11 	 23 	 24 	 11 	 1 	 [1, 3]
11 	 24 	 54 	 14 	 3 	 [1, 3]
11 	 25 	 113 	 9 	 4 	 [15, 1]
11 	 26 	 144 	 9 	 5 	 [15, 1]
11 	 27 	 69 	 15 	 4 	 [1, 3]
11 	 28 	 11 	 15 	 1 	 [1, 3]
11 	 29 	 20 	 13 	 1 	 [3, 5]
11 	 30 	 94 	 11 	 4 	 [1, 3]
11 	 31 	 227 	 9 	 8 	 [15, 1]
11 	 32 	 193 	 4 	 3 	 [3, 5]
11 	 33 	 214 	 6 	 5 	 [1, 3]
11 	 34 	 143 	 9 	 5 	 [15, 1]
11 	 35 	 196 	 13 	 10 	 [3, 5]
11 	 36 	 104 	 5 	 2 	 [3, 5]
11 	 37 	 100 	 13 	 5 	 [3, 5]
11 	 38 	 165 	 14 	 9 	 [1, 3]
11 	 39 	 10 	 15 	 1 	 [1, 3]
11 	 40 	 204 	 5 	 4 	 [3, 5]
11 	 41 	 2 	 1 	 0 	 [15, 1]
11 	 42 	 196 	 13 	 10 	 [3, 5]
11 	 43 	 62 	 4 	 1 	 [3, 5]
11 	 44 	 93 	 11 	 4 	 [1, 3]
11 	 45 	 48 	 11 	 2 	 [1, 3]
11 	 46 	 13 	 15 	 1 	 [1, 3]
11 	 47 	 213 	 6 	 5 	 [1, 3]
11 	 48 	 68 	 15 	 4 	 [1, 3]
11 	 49 	 194 	 4 	 3 	 [3, 5]
12 	 0 	 141 	 9 	 5 	 [15, 1]
12 	 1 	 3 	 1 	 0 	 [15, 1]
12 	 2 	 70 	 11 	 3 	 [1, 3]
12 	 3 	 81 	 13 	 4 	 [3, 5]
12 	 4 	 241 	 15 	 14 	 [1, 3]
12 	 5 	 172 	 3 	 2 	 [1, 3]
12 	 6 	 123 	 15 	 7 	 [1, 3]
12 	 7 	 218 	 13 	 11 	 [3, 5]
12 	 8 	 0 	 0 	 0 	 [0, 0]
12 	 9 	 211 	 11 	 9 	 [1, 3]
12 	 10 	 99 	 13 	 5 	 [3, 5]
12 	 11 	 51 	 5 	 1 	 [3, 5]
12 	 12 	 116 	 11 	 5 	 [1, 3]
12 	 13 	 158 	 13 	 8 	 [3, 5]
12 	 14 	 194 	 4 	 3 	 [3, 5]
12 	 15 	 84 	 3 	 1 	 [1, 3]
12 	 16 	 72 	 7 	 2 	 [1, 3]
12 	 17 	 192 	 4 	 3 	 [3, 5]
12 	 18 	 32 	 8 	 1 	 [15, 1]
12 	 19 	 200 	 9 	 7 	 [15, 1]
12 	 20 	 81 	 13 	 4 	 [3, 5]
12 	 21 	 254 	 1 	 1 	 [15, 1]
12 	 22 	 154 	 5 	 3 	 [3, 5]
12 	 23 	 228 	 9 	 8 	 [15, 1]
12 	 24 	 190 	 4 	 3 	 [3, 5]
12 	 25 	 186 	 11 	 8 	 [1, 3]
12 	 26 	 70 	 11 	 3 	 [1, 3]
12 	 27 	 49 	 5 	 1 	 [3, 5]
12 	 28 	 66 	 4 	 1 	 [3, 5]
12 	 29 	 95 	 8 	 3 	 [15, 1]
12 	 30 	 97 	 8 	 3 	 [15, 1]
12 	 31 	 244 	 15 	 14 	 [1, 3]
12 	 32 	 28 	 9 	 1 	 [15, 1]
12 	 33 	 100 	 13 	 5 	 [3, 5]
12 	 34 	 144 	 9 	 5 	 [15, 1]
12 	 35 	 154 	 5 	 3 	 [3, 5]
12 	 36 	 179 	 10 	 7 	 [1, 3]
12 	 37 	 69 	 15 	 4 	 [1, 3]
12 	 38 	 162 	 11 	 7 	 [1, 3]
12 	 39 	 242 	 15 	 14 	 [1, 3]
12 	 40 	 52 	 5 	 1 	 [3, 5]
12 	 41 	 229 	 10 	 9 	 [1, 3]
12 	 42 	 197 	 13 	 10 	 [3, 5]
12 	 43 	 206 	 5 	 4 	 [3, 5]
12 	 44 	 24 	 11 	 1 	 [1, 3]
12 	 45 	 81 	 13 	 4 	 [3, 5]
12 	 46 	 184 	 7 	 5 	 [1, 3]
12 	 47 	 48 	 11 	 2 	 [1, 3]
12 	 48 	 37 	 7 	 1 	 [1, 3]
12 	 49 	 32 	 8 	 1 	 [15, 1]
13 	 0 	 209 	 11 	 9 	 [1, 3]
13 	 1 	 155 	 5 	 3 	 [3, 5]
13 	 2 	 25 	 10 	 1 	 [1, 3]
13 	 3 	 113 	 9 	 4 	 [15, 1]
13 	 4 	 36 	 7 	 1 	 [1, 3]
13 	 5 	 89 	 14 	 5 	 [1, 3]
13 	 6 	 203 	 5 	 4 	 [3, 5]
13 	 7 	 53 	 5 	 1 	 [3, 5]
13 	 8 	 240 	 15 	 14 	 [1, 3]
13 	 9 	 64 	 4 	 1 	 [3, 5]
13 	 10 	 42 	 6 	 1 	 [1, 3]
13 	 11 	 136 	 15 	 8 	 [1, 3]
13 	 12 	 192 	 4 	 3 	 [3, 5]
13 	 13 	 78 	 13 	 4 	 [3, 5]
13 	 14 	 40 	 13 	 2 	 [3, 5]
13 	 15 	 50 	 5 	 1 	 [3, 5]
13 	 16 	 240 	 15 	 14 	 [1, 3]
13 	 17 	 179 	 10 	 7 	 [1, 3]
13 	 18 	 28 	 9 	 1 	 [15, 1]
13 	 19 	 76 	 10 	 3 	 [1, 3]
13 	 20 	 148 	 12 	 7 	 [3, 5]
13 	 21 	 67 	 15 	 4 	 [1, 3]
13 	 22 	 89 	 14 	 5 	 [1, 3]
13 	 23 	 101 	 5 	 2 	 [3, 5]
13 	 24 	 114 	 9 	 4 	 [15, 1]
13 	 25 	 102 	 5 	 2 	 [3, 5]
13 	 26 	 211 	 11 	 9 	 [1, 3]
13 	 27 	 247 	 15 	 14 	 [1, 3]
13 	 28 	 160 	 8 	 5 	 [15, 1]
13 	 29 	 245 	 15 	 14 	 [1, 3]
13 	 30 	 39 	 13 	 2 	 [3, 5]
13 	 31 	 36 	 7 	 1 	 [1, 3]
13 	 32 	 52 	 5 	 1 	 [3, 5]
13 	 33 	 149 	 12 	 7 	 [3, 5]
13 	 34 	 156 	 13 	 8 	 [3, 5]
13 	 35 	 100 	 13 	 5 	 [3, 5]
13 	 36 	 16 	 15 	 1 	 [1, 3]
13 	 37 	 168 	 3 	 2 	 [1, 3]
13 	 38 	 150 	 12 	 7 	 [3, 5]
13 	 39 	 83 	 3 	 1 	 [1, 3]
13 	 40 	 34 	 15 	 2 	 [1, 3]
13 	 41 	 162 	 11 	 7 	 [1, 3]
13 	 42 	 240 	 15 	 14 	 [1, 3]
13 	 43 	 220 	 7 	 6 	 [1, 3]
13 	 44 	 20 	 13 	 1 	 [3, 5]
13 	 45 	 66 	 4 	 1 	 [3, 5]
13 	 46 	 60 	 13 	 3 	 [3, 5]
13 	 47 	 124 	 2 	 1 	 [1, 3]
13 	 48 	 68 	 15 	 4 	 [1, 3]
13 	 49 	 71 	 11 	 3 	 [1, 3]
14 	 0 	 177 	 13 	 9 	 [3, 5]
14 	 1 	 202 	 14 	 11 	 [1, 3]
14 	 2 	 245 	 15 	 14 	 [1, 3]
14 	 3 	 188 	 15 	 11 	 [1, 3]
14 	 4 	 208 	 11 	 9 	 [1, 3]
14 	 5 	 44 	 6 	 1 	 [1, 3]
14 	 6 	 197 	 13 	 10 	 [3, 5]
14 	 7 	 202 	 14 	 11 	 [1, 3]
14 	 8 	 153 	 5 	 3 	 [3, 5]
14 	 9 	 91 	 14 	 5 	 [1, 3]
14 	 10 	 39 	 13 	 2 	 [3, 5]
14 	 11 	 148 	 12 	 7 	 [3, 5]
14 	 12 	 99 	 13 	 5 	 [3, 5]
14 	 13 	 166 	 14 	 9 	 [1, 3]
14 	 14 	 189 	 15 	 11 	 [1, 3]
14 	 15 	 67 	 15 	 4 	 [1, 3]
14 	 16 	 45 	 11 	 2 	 [1, 3]
14 	 17 	 128 	 2 	 1 	 [1, 3]
14 	 18 	 244 	 15 	 14 	 [1, 3]
14 	 19 	 164 	 14 	 9 	 [1, 3]
14 	 20 	 142 	 9 	 5 	 [15, 1]
14 	 21 	 111 	 7 	 3 	 [1, 3]
14 	 22 	 87 	 3 	 1 	 [1, 3]
14 	 23 	 40 	 13 	 2 	 [3, 5]
14 	 24 	 235 	 12 	 11 	 [3, 5]
14 	 25 	 81 	 13 	 4 	 [3, 5]
14 	 26 	 194 	 4 	 3 	 [3, 5]
14 	 27 	 81 	 13 	 4 	 [3, 5]
14 	 28 	 212 	 6 	 5 	 [1, 3]
14 	 29 	 95 	 8 	 3 	 [15, 1]
14 	 30 	 9 	 15 	 1 	 [1, 3]
14 	 31 	 81 	 13 	 4 	 [3, 5]
14 	 32 	 254 	 1 	 1 	 [15, 1]
14 	 33 	 84 	 3 	 1 	 [1, 3]
14 	 34 	 147 	 7 	 4 	 [1, 3]
14 	 35 	 243 	 15 	 14 	 [1, 3]
14 	 36 	 104 	 5 	 2 	 [3, 5]
14 	 37 	 8 	 1 	 0 	 [15, 1]
14 	 38 	 156 	 13 	 8 	 [3, 5]
14 	 39 	 230 	 10 	 9 	 [1, 3]
14 	 40 	 94 	 11 	 4 	 [1, 3]
14 	 41 	 193 	 4 	 3 	 [3, 5]
14 	 42 	 137 	 15 	 8 	 [1, 3]
14 	 43 	 201 	 14 	 11 	 [1, 3]
14 	 44 	 228 	 9 	 8 	 [15, 1]
14 	 45 	 245 	 15 	 14 	 [1, 3]
14 	 46 	 118 	 13 	 6 	 [3, 5]
14 	 47 	 77 	 10 	 3 	 [1, 3]
14 	 48 	 160 	 8 	 5 	 [15, 1]
14 	 49 	 210 	 11 	 9 	 [1, 3]
15 	 0 	 66 	 4 	 1 	 [3, 5]
15 	 1 	 56 	 9 	 2 	 [15, 1]
15 	 2 	 85 	 3 	 1 	 [1, 3]
15 	 3 	 152 	 5 	 3 	 [3, 5]
15 	 4 	 157 	 13 	 8 	 [3, 5]
15 	 5 	 229 	 10 	 9 	 [1, 3]
15 	 6 	 198 	 13 	 10 	 [3, 5]
15 	 7 	 216 	 13 	 11 	 [3, 5]
15 	 8 	 179 	 10 	 7 	 [1, 3]
15 	 9 	 203 	 5 	 4 	 [3, 5]
15 	 10 	 151 	 12 	 7 	 [3, 5]
15 	 11 	 54 	 14 	 3 	 [1, 3]
15 	 12 	 48 	 11 	 2 	 [1, 3]
15 	 13 	 150 	 12 	 7 	 [3, 5]
15 	 14 	 221 	 15 	 13 	 [1, 3]
15 	 15 	 239 	 15 	 14 	 [1, 3]
15 	 16 	 143 	 9 	 5 	 [15, 1]
15 	 17 	 85 	 3 	 1 	 [1, 3]
15 	 18 	 153 	 5 	 3 	 [3, 5]
15 	 19 	 220 	 7 	 6 	 [1, 3]
15 	 20 	 2 	 1 	 0 	 [15, 1]
15 	 21 	 80 	 13 	 4 	 [3, 5]
15 	 22 	 147 	 7 	 4 	 [1, 3]
15 	 23 	 244 	 15 	 14 	 [1, 3]
15 	 24 	 137 	 15 	 8 	 [1, 3]
15 	 25 	 105 	 12 	 5 	 [3, 5]
15 	 26 	 28 	 9 	 1 	 [15, 1]
15 	 27 	 171 	 3 	 2 	 [1, 3]
15 	 28 	 184 	 7 	 5 	 [1, 3]
15 	 29 	 193 	 4 	 3 	 [3, 5]
15 	 30 	 96 	 8 	 3 	 [15, 1]
15 	 31 	 163 	 11 	 7 	 [1, 3]
15 	 32 	 111 	 7 	 3 	 [1, 3]
15 	 33 	 113 	 9 	 4 	 [15, 1]
15 	 34 	 190 	 4 	 3 	 [3, 5]
15 	 35 	 28 	 9 	 1 	 [15, 1]
15 	 36 	 224 	 8 	 7 	 [15, 1]
15 	 37 	 77 	 10 	 3 	 [1, 3]
15 	 38 	 192 	 4 	 3 	 [3, 5]
15 	 39 	 241 	 15 	 14 	 [1, 3]
15 	 40 	 208 	 11 	 9 	 [1, 3]
15 	 41 	 116 	 11 	 5 	 [1, 3]
15 	 42 	 193 	 4 	 3 	 [3, 5]
15 	 43 	 201 	 14 	 11 	 [1, 3]
15 	 44 	 11 	 15 	 1 	 [1, 3]
15 	 45 	 117 	 11 	 5 	 [1, 3]
15 	 46 	 34 	 15 	 2 	 [1, 3]
15 	 47 	 73 	 7 	 2 	 [1, 3]
15 	 48 	 144 	 9 	 5 	 [15, 1]
15 	 49 	 240 	 15 	 14 	 [1, 3]
16 	 0 	 169 	 3 	 2 	 [1, 3]
16 	 1 	 181 	 10 	 7 	 [1, 3]
16 	 2 	 204 	 5 	 4 	 [3, 5]
16 	 3 	 20 	 13 	 1 	 [3, 5]
16 	 4 	 143 	 9 	 5 	 [15, 1]
16 	 5 	 224 	 8 	 7 	 [15, 1]
16 	 6 	 181 	 10 	 7 	 [1, 3]
16 	 7 	 218 	 13 	 11 	 [3, 5]
16 	 8 	 1 	 1 	 0 	 [15, 1]
16 	 9 	 64 	 4 	 1 	 [3, 5]
16 	 10 	 47 	 11 	 2 	 [1, 3]
16 	 11 	 89 	 14 	 5 	 [1, 3]
16 	 12 	 3 	 1 	 0 	 [15, 1]
16 	 13 	 241 	 15 	 14 	 [1, 3]
16 	 14 	 188 	 15 	 11 	 [1, 3]
16 	 15 	 224 	 8 	 7 	 [15, 1]
16 	 16 	 186 	 11 	 8 	 [1, 3]
16 	 17 	 19 	 13 	 1 	 [3, 5]
16 	 18 	 34 	 15 	 2 	 [1, 3]
16 	 19 	 80 	 13 	 4 	 [3, 5]
16 	 20 	 138 	 13 	 7 	 [3, 5]
16 	 21 	 88 	 3 	 1 	 [1, 3]
16 	 22 	 199 	 9 	 7 	 [15, 1]
16 	 23 	 209 	 11 	 9 	 [1, 3]
16 	 24 	 88 	 3 	 1 	 [1, 3]
16 	 25 	 135 	 15 	 8 	 [1, 3]
16 	 26 	 136 	 15 	 8 	 [1, 3]
16 	 27 	 221 	 15 	 13 	 [1, 3]
16 	 28 	 211 	 11 	 9 	 [1, 3]
16 	 29 	 21 	 12 	 1 	 [3, 5]
16 	 30 	 236 	 13 	 12 	 [3, 5]
16 	 31 	 33 	 8 	 1 	 [15, 1]
16 	 32 	 210 	 11 	 9 	 [1, 3]
16 	 33 	 139 	 11 	 6 	 [1, 3]
16 	 34 	 175 	 13 	 9 	 [3, 5]
16 	 35 	 34 	 15 	 2 	 [1, 3]
16 	 36 	 232 	 11 	 10 	 [1, 3]
16 	 37 	 96 	 8 	 3 	 [15, 1]
16 	 38 	 90 	 14 	 5 	 [1, 3]
16 	 39 	 131 	 2 	 1 	 [1, 3]
16 	 40 	 197 	 13 	 10 	 [3, 5]
16 	 41 	 140 	 11 	 6 	 [1, 3]
16 	 42 	 148 	 12 	 7 	 [3, 5]
16 	 43 	 212 	 6 	 5 	 [1, 3]
16 	 44 	 46 	 11 	 2 	 [1, 3]
16 	 45 	 247 	 15 	 14 	 [1, 3]
16 	 46 	 56 	 9 	 2 	 [15, 1]
16 	 47 	 185 	 11 	 8 	 [1, 3]
16 	 48 	 204 	 5 	 4 	 [3, 5]
16 	 49 	 225 	 8 	 7 	 [15, 1]
17 	 0 	 20 	 13 	 1 	 [3, 5]
17 	 1 	 233 	 11 	 10 	 [1, 3]
17 	 2 	 101 	 5 	 2 	 [3, 5]
17 	 3 	 64 	 4 	 1 	 [3, 5]
17 	 4 	 186 	 11 	 8 	 [1, 3]
17 	 5 	 52 	 5 	 1 	 [3, 5]
17 	 6 	 129 	 2 	 1 	 [1, 3]
17 	 7 	 167 	 14 	 9 	 [1, 3]
17 	 8 	 124 	 2 	 1 	 [1, 3]
17 	 9 	 25 	 10 	 1 	 [1, 3]
17 	 10 	 181 	 10 	 7 	 [1, 3]
17 	 11 	 66 	 4 	 1 	 [3, 5]
17 	 12 	 64 	 4 	 1 	 [3, 5]
17 	 13 	 20 	 13 	 1 	 [3, 5]
17 	 14 	 134 	 15 	 8 	 [1, 3]
17 	 15 	 48 	 11 	 2 	 [1, 3]
17 	 16 	 198 	 13 	 10 	 [3, 5]
17 	 17 	 76 	 10 	 3 	 [1, 3]
17 	 18 	 208 	 11 	 9 	 [1, 3]
17 	 19 	 161 	 8 	 5 	 [15, 1]
17 	 20 	 130 	 2 	 1 	 [1, 3]
17 	 21 	 112 	 9 	 4 	 [15, 1]
17 	 22 	 234 	 12 	 11 	 [3, 5]
17 	 23 	 237 	 13 	 12 	 [3, 5]
17 	 24 	 248 	 1 	 1 	 [15, 1]
17 	 25 	 93 	 11 	 4 	 [1, 3]
17 	 26 	 116 	 11 	 5 	 [1, 3]
17 	 27 	 1 	 1 	 0 	 [15, 1]
17 	 28 	 38 	 13 	 2 	 [3, 5]
17 	 29 	 63 	 4 	 1 	 [3, 5]
17 	 30 	 146 	 7 	 4 	 [1, 3]
17 	 31 	 44 	 6 	 1 	 [1, 3]
17 	 32 	 134 	 15 	 8 	 [1, 3]
17 	 33 	 146 	 7 	 4 	 [1, 3]
17 	 34 	 168 	 3 	 2 	 [1, 3]
17 	 35 	 146 	 7 	 4 	 [1, 3]
17 	 36 	 160 	 8 	 5 	 [15, 1]
17 	 37 	 165 	 14 	 9 	 [1, 3]
17 	 38 	 28 	 9 	 1 	 [15, 1]
17 	 39 	 128 	 2 	 1 	 [1, 3]
17 	 40 	 1 	 1 	 0 	 [15, 1]
17 	 41 	 32 	 8 	 1 	 [15, 1]
17 	 42 	 80 	 13 	 4 	 [3, 5]
17 	 43 	 30 	 9 	 1 	 [15, 1]
17 	 44 	 33 	 8 	 1 	 [15, 1]
17 	 45 	 181 	 10 	 7 	 [1, 3]
17 	 46 	 10 	 15 	 1 	 [1, 3]
17 	 47 	 73 	 7 	 2 	 [1, 3]
17 	 48 	 118 	 13 	 6 	 [3, 5]
17 	 49 	 239 	 15 	 14 	 [1, 3]
18 	 0 	 45 	 11 	 2 	 [1, 3]
18 	 1 	 149 	 12 	 7 	 [3, 5]
18 	 2 	 144 	 9 	 5 	 [15, 1]
18 	 3 	 45 	 11 	 2 	 [1, 3]
18 	 4 	 217 	 13 	 11 	 [3, 5]
18 	 5 	 220 	 7 	 6 	 [1, 3]
18 	 6 	 34 	 15 	 2 	 [1, 3]
18 	 7 	 200 	 9 	 7 	 [15, 1]
18 	 8 	 44 	 6 	 1 	 [1, 3]
18 	 9 	 33 	 8 	 1 	 [15, 1]
18 	 10 	 251 	 1 	 1 	 [15, 1]
18 	 11 	 164 	 14 	 9 	 [1, 3]
18 	 12 	 221 	 15 	 13 	 [1, 3]
18 	 13 	 76 	 10 	 3 	 [1, 3]
18 	 14 	 63 	 4 	 1 	 [3, 5]
18 	 15 	 245 	 15 	 14 	 [1, 3]
18 	 16 	 27 	 10 	 1 	 [1, 3]
18 	 17 	 252 	 1 	 1 	 [15, 1]
18 	 18 	 132 	 2 	 1 	 [1, 3]
18 	 19 	 228 	 9 	 8 	 [15, 1]
18 	 20 	 230 	 10 	 9 	 [1, 3]
18 	 21 	 122 	 15 	 7 	 [1, 3]
18 	 22 	 105 	 12 	 5 	 [3, 5]
18 	 23 	 225 	 8 	 7 	 [15, 1]
18 	 24 	 145 	 7 	 4 	 [1, 3]
18 	 25 	 212 	 6 	 5 	 [1, 3]
18 	 26 	 50 	 5 	 1 	 [3, 5]
18 	 27 	 43 	 6 	 1 	 [1, 3]
18 	 28 	 184 	 7 	 5 	 [1, 3]
18 	 29 	 81 	 13 	 4 	 [3, 5]
18 	 30 	 82 	 13 	 4 	 [3, 5]
18 	 31 	 248 	 1 	 1 	 [15, 1]
18 	 32 	 251 	 1 	 1 	 [15, 1]
18 	 33 	 57 	 9 	 2 	 [15, 1]
18 	 34 	 250 	 1 	 1 	 [15, 1]
18 	 35 	 87 	 3 	 1 	 [1, 3]
18 	 36 	 243 	 15 	 14 	 [1, 3]
18 	 37 	 34 	 15 	 2 	 [1, 3]
18 	 38 	 232 	 11 	 10 	 [1, 3]
18 	 39 	 96 	 8 	 3 	 [15, 1]
18 	 40 	 208 	 11 	 9 	 [1, 3]
18 	 41 	 208 	 11 	 9 	 [1, 3]
18 	 42 	 58 	 13 	 3 	 [3, 5]
18 	 43 	 108 	 12 	 5 	 [3, 5]
18 	 44 	 98 	 13 	 5 	 [3, 5]
18 	 45 	 243 	 15 	 14 	 [1, 3]
18 	 46 	 28 	 9 	 1 	 [15, 1]
18 	 47 	 114 	 9 	 4 	 [15, 1]
18 	 48 	 198 	 13 	 10 	 [3, 5]
18 	 49 	 93 	 11 	 4 	 [1, 3]
19 	 0 	 146 	 7 	 4 	 [1, 3]
19 	 1 	 229 	 10 	 9 	 [1, 3]
19 	 2 	 180 	 10 	 7 	 [1, 3]
19 	 3 	 254 	 1 	 1 	 [15, 1]
19 	 4 	 254 	 1 	 1 	 [15, 1]
19 	 5 	 27 	 10 	 1 	 [1, 3]
19 	 6 	 200 	 9 	 7 	 [15, 1]
19 	 7 	 180 	 10 	 7 	 [1, 3]
19 	 8 	 78 	 13 	 4 	 [3, 5]
19 	 9 	 215 	 13 	 11 	 [3, 5]
19 	 10 	 197 	 13 	 10 	 [3, 5]
19 	 11 	 86 	 3 	 1 	 [1, 3]
19 	 12 	 45 	 11 	 2 	 [1, 3]
19 	 13 	 216 	 13 	 11 	 [3, 5]
19 	 14 	 12 	 15 	 1 	 [1, 3]
19 	 15 	 22 	 12 	 1 	 [3, 5]
19 	 16 	 60 	 13 	 3 	 [3, 5]
19 	 17 	 247 	 15 	 14 	 [1, 3]
19 	 18 	 2 	 1 	 0 	 [15, 1]
19 	 19 	 61 	 13 	 3 	 [3, 5]
19 	 20 	 233 	 11 	 10 	 [1, 3]
19 	 21 	 136 	 15 	 8 	 [1, 3]
19 	 22 	 108 	 12 	 5 	 [3, 5]
19 	 23 	 193 	 4 	 3 	 [3, 5]
19 	 24 	 72 	 7 	 2 	 [1, 3]
19 	 25 	 225 	 8 	 7 	 [15, 1]
19 	 26 	 179 	 10 	 7 	 [1, 3]
19 	 27 	 169 	 3 	 2 	 [1, 3]
19 	 28 	 236 	 13 	 12 	 [3, 5]
19 	 29 	 55 	 14 	 3 	 [1, 3]
19 	 30 	 20 	 13 	 1 	 [3, 5]
19 	 31 	 130 	 2 	 1 	 [1, 3]
19 	 32 	 58 	 13 	 3 	 [3, 5]
19 	 33 	 200 	 9 	 7 	 [15, 1]
19 	 34 	 54 	 14 	 3 	 [1, 3]
19 	 35 	 148 	 12 	 7 	 [3, 5]
19 	 36 	 168 	 3 	 2 	 [1, 3]
19 	 37 	 247 	 15 	 14 	 [1, 3]
19 	 38 	 117 	 11 	 5 	 [1, 3]
19 	 39 	 70 	 11 	 3 	 [1, 3]
19 	 40 	 9 	 15 	 1 	 [1, 3]
19 	 41 	 221 	 15 	 13 	 [1, 3]
19 	 42 	 117 	 11 	 5 	 [1, 3]
19 	 43 	 58 	 13 	 3 	 [3, 5]
19 	 44 	 194 	 4 	 3 	 [3, 5]
19 	 45 	 133 	 15 	 8 	 [1, 3]
19 	 46 	 15 	 15 	 1 	 [1, 3]
19 	 47 	 68 	 15 	 4 	 [1, 3]
19 	 48 	 177 	 13 	 9 	 [3, 5]
19 	 49 	 78 	 13 	 4 	 [3, 5]
20 	 0 	 57 	 9 	 2 	 [15, 1]
20 	 1 	 106 	 12 	 5 	 [3, 5]
20 	 2 	 116 	 11 	 5 	 [1, 3]
20 	 3 	 185 	 11 	 8 	 [1, 3]
20 	 4 	 228 	 9 	 8 	 [15, 1]
20 	 5 	 171 	 3 	 2 	 [1, 3]
20 	 6 	 196 	 13 	 10 	 [3, 5]
20 	 7 	 37 	 7 	 1 	 [1, 3]
20 	 8 	 27 	 10 	 1 	 [1, 3]
20 	 9 	 116 	 11 	 5 	 [1, 3]
20 	 10 	 175 	 13 	 9 	 [3, 5]
20 	 11 	 26 	 10 	 1 	 [1, 3]
20 	 12 	 56 	 9 	 2 	 [15, 1]
20 	 13 	 61 	 13 	 3 	 [3, 5]
20 	 14 	 51 	 5 	 1 	 [3, 5]
20 	 15 	 176 	 13 	 9 	 [3, 5]
20 	 16 	 234 	 12 	 11 	 [3, 5]
20 	 17 	 121 	 15 	 7 	 [1, 3]
20 	 18 	 32 	 8 	 1 	 [15, 1]
20 	 19 	 66 	 4 	 1 	 [3, 5]
20 	 20 	 100 	 13 	 5 	 [3, 5]
20 	 21 	 66 	 4 	 1 	 [3, 5]
20 	 22 	 7 	 1 	 0 	 [15, 1]
20 	 23 	 226 	 9 	 8 	 [15, 1]
20 	 24 	 193 	 4 	 3 	 [3, 5]
20 	 25 	 68 	 15 	 4 	 [1, 3]
20 	 26 	 157 	 13 	 8 	 [3, 5]
20 	 27 	 138 	 13 	 7 	 [3, 5]
20 	 28 	 169 	 3 	 2 	 [1, 3]
20 	 29 	 127 	 2 	 1 	 [1, 3]
20 	 30 	 202 	 14 	 11 	 [1, 3]
20 	 31 	 72 	 7 	 2 	 [1, 3]
20 	 32 	 7 	 1 	 0 	 [15, 1]
20 	 33 	 75 	 10 	 3 	 [1, 3]
