case	rep	j	r	k	guesses
	15	24	245	25	6	[27, 1]
	15	25	994	27	26	[1, 9]
	15	26	302	17	5	[9, 1]
	15	27	941	25	23	[27, 1]
	15	28	801	23	18	[1, 9]
	15	29	689	3	2	[1, 9]
	15	30	647	19	12	[1, 27]
	15	31	183	17	3	[9, 1]
	15	32	659	14	9	[1, 9]
	15	33	812	24	19	[27, 1]
	15	34	672	26	17	[1, 9]
	15	35	478	15	7	[1, 9]
	15	36	945	13	12	[27, 1]
	15	37	903	17	15	[9, 1]
	15	38	124	25	3	[27, 1]
	15	39	455	9	4	[9, 1]
	15	40	282	18	5	[1, 27]
	15	41	401	23	9	[1, 9]
	15	42	921	10	9	[1, 9]
	15	43	590	26	15	[1, 9]
	15	44	24	27	1	[1, 9]
	15	45	840	11	9	[1, 9]
	15	46	833	16	13	[9, 1]
	15	47	510	2	1	[1, 9]
	15	48	387	8	3	[9, 1]
	15	49	184	11	2	[1, 9]
	16	0	419	22	9	[1, 9]
	16	1	408	5	2	[9, 1]
	16	2	233	22	5	[1, 9]
	16	3	93	11	1	[1, 9]
	16	4	842	17	14	[9, 1]
	16	5	955	15	14	[1, 9]
	16	6	729	7	5	[1, 27]
	16	7	836	27	22	[1, 9]
	16	8	847	23	19	[1, 9]
	16	9	150	27	4	[1, 9]
	16	10	118	26	3	[1, 9]
	16	11	750	15	11	[1, 9]
	16	12	146	7	1	[1, 27]
	16	13	446	23	10	[1, 9]
	16	14	570	9	5	[9, 1]
	16	15	819	5	4	[9, 1]
	16	16	400	23	9	[1, 9]
	16	17	617	5	3	[9, 1]
	16	18	565	20	11	[9, 1]
	16	19	1022	1	1	[27, 1]
	16	20	836	27	22	[1, 9]
	16	21	904	17	15	[9, 1]
	16	22	38	27	1	[1, 9]
	16	23	693	25	17	[27, 1]
	16	24	671	26	17	[1, 9]
	16	25	681	3	2	[1, 9]
	16	26	120	17	2	[9, 1]
	16	27	51	20	1	[9, 1]
	16	28	887	15	13	[1, 9]
	16	29	109	19	2	[1, 27]
	16	30	209	5	1	[9, 1]
	16	31	83	25	2	[27, 1]
	16	32	549	13	7	[27, 1]
	16	33	1013	1	1	[27, 1]
	16	34	686	3	2	[1, 9]
	16	35	490	23	11	[1, 9]
	16	36	176	23	4	[1, 9]
	16	37	775	25	19	[27, 1]
	16	38	256	4	1	[9, 1]
	16	39	924	10	9	[1, 9]
	16	40	197	26	5	[1, 9]
	16	41	525	27	14	[1, 9]
	16	42	157	13	2	[27, 1]
	16	43	254	4	1	[9, 1]
	16	44	1007	1	1	[27, 1]
	16	45	660	14	9	[1, 9]
	16	46	640	8	5	[9, 1]
	16	47	252	4	1	[9, 1]
	16	48	779	25	19	[27, 1]
	16	49	239	17	4	[9, 1]
	17	0	914	19	17	[1, 27]
	17	1	306	10	3	[1, 9]
	17	2	648	19	12	[1, 27]
	17	3	288	25	7	[27, 1]
	17	4	8	1	0	[27, 1]
	17	5	1021	1	1	[27, 1]
	17	6	267	23	6	[1, 9]
	17	7	896	8	7	[9, 1]
	17	8	184	11	2	[1, 9]
	17	9	787	13	10	[27, 1]
	17	10	336	3	1	[1, 9]
	17	11	816	5	4	[9, 1]
	17	12	244	21	5	[9, 1]
	17	13	27	27	1	[1, 9]
	17	14	487	21	10	[9, 1]
	17	15	421	17	7	[9, 1]
	17	16	67	15	1	[1, 9]
	17	17	244	21	5	[9, 1]
	17	18	435	26	11	[1, 9]
	17	19	405	23	9	[1, 9]
	17	20	673	26	17	[1, 9]
	17	21	631	13	8	[27, 1]
	17	22	393	13	5	[27, 1]
	17	23	60	17	1	[9, 1]
	17	24	1010	1	1	[27, 1]
	17	25	53	19	1	[1, 27]
	17	26	649	19	12	[1, 27]
	17	27	93	11	1	[1, 9]
	17	28	940	12	11	[27, 1]
	17	29	944	13	12	[27, 1]
	17	30	220	14	3	[1, 9]
	17	31	942	25	23	[27, 1]
	17	32	376	19	7	[1, 27]
	17	33	752	15	11	[1, 9]
	17	34	321	16	5	[9, 1]
	17	35	436	26	11	[1, 9]
	17	36	904	17	15	[9, 1]
	17	37	331	25	8	[27, 1]
	17	38	424	17	7	[9, 1]
	17	39	289	25	7	[27, 1]
	17	40	252	4	1	[9, 1]
	17	41	300	17	5	[9, 1]
	17	42	418	27	11	[1, 9]
	17	43	556	24	13	[27, 1]
	17	44	666	20	13	[9, 1]
	17	45	371	11	4	[1, 9]
	17	46	701	19	13	[1, 27]
	17	47	401	23	9	[1, 9]
	17	48	364	14	5	[1, 9]
	17	49	400	23	9	[1, 9]
	18	0	978	22	21	[1, 9]
	18	1	218	14	3	[1, 9]
	18	2	381	27	10	[1, 9]
	18	3	679	3	2	[1, 9]
	18	4	786	13	10	[27, 1]
	18	5	933	23	21	[1, 9]
	18	6	350	26	9	[1, 9]
	18	7	522	27	14	[1, 9]
	18	8	424	17	7	[9, 1]
	18	9	164	25	4	[27, 1]
	18	10	176	23	4	[1, 9]
	18	11	15	1	0	[27, 1]
	18	12	845	23	19	[1, 9]
	18	13	886	15	13	[1, 9]
	18	14	198	26	5	[1, 9]
	18	15	123	25	3	[27, 1]
	18	16	328	25	8	[27, 1]
	18	17	589	26	15	[1, 9]
	18	18	758	27	20	[1, 9]
	18	19	12	1	0	[27, 1]
	18	20	762	27	20	[1, 9]
	18	21	954	15	14	[1, 9]
	18	22	800	23	18	[1, 9]
	18	23	181	17	3	[9, 1]
	18	24	611	5	3	[9, 1]
	18	25	555	24	13	[27, 1]
	18	26	393	13	5	[27, 1]
	18	27	250	25	6	[27, 1]
	18	28	773	4	3	[9, 1]
	18	29	765	4	3	[9, 1]
	18	30	240	17	4	[9, 1]
	18	31	474	13	6	[27, 1]
	18	32	99	21	2	[9, 1]
	18	33	667	23	15	[1, 9]
	18	34	831	16	13	[9, 1]
	18	35	619	23	14	[1, 9]
	18	36	448	16	7	[9, 1]
	18	37	418	27	11	[1, 9]
	18	38	389	21	8	[9, 1]
	18	39	963	17	16	[9, 1]
	18	40	797	9	7	[9, 1]
	18	41	8	1	0	[27, 1]
	18	42	403	23	9	[1, 9]
	18	43	686	3	2	[1, 9]
	18	44	328	25	8	[27, 1]
	18	45	915	19	17	[1, 27]
	18	46	58	18	1	[1, 27]
	18	47	283	18	5	[1, 27]
	18	48	334	25	8	[27, 1]
	18	49	304	27	8	[1, 9]
	19	0	412	5	2	[9, 1]
	19	1	99	21	2	[9, 1]
	19	2	951	14	13	[1, 9]
	19	3	762	27	20	[1, 9]
	19	4	362	17	6	[9, 1]
	19	5	483	17	8	[9, 1]
	19	6	1004	27	26	[1, 9]
	19	7	467	11	5	[1, 9]
	19	8	805	14	11	[1, 9]
	19	9	288	25	7	[27, 1]
	19	10	445	23	10	[1, 9]
	19	11	557	11	6	[1, 9]
	19	12	510	2	1	[1, 9]
	19	13	37	27	1	[1, 9]
	19	14	336	3	1	[1, 9]
	19	15	263	27	7	[1, 9]
	19	16	564	20	11	[9, 1]
	19	17	987	27	26	[1, 9]
	19	18	621	23	14	[1, 9]
	19	19	598	12	7	[27, 1]
	19	20	632	13	8	[27, 1]
	19	21	723	17	12	[9, 1]
	19	22	557	11	6	[1, 9]
	19	23	406	5	2	[9, 1]
	19	24	230	9	2	[9, 1]
	19	25	410	5	2	[9, 1]
	19	26	261	27	7	[1, 9]
	19	27	705	16	11	[9, 1]
	19	28	146	7	1	[1, 27]
	19	29	794	9	7	[9, 1]
	19	30	528	27	14	[1, 9]
	19	31	1005	27	26	[1, 9]
	19	32	358	20	7	[9, 1]
	19	33	915	19	17	[1, 27]
	19	34	510	2	1	[1, 9]
	19	35	974	20	19	[9, 1]
	19	36	31	27	1	[1, 9]
	19	37	639	8	5	[9, 1]
	19	38	783	17	13	[9, 1]
	19	39	679	3	2	[1, 9]
	19	40	725	24	17	[27, 1]
	19	41	162	19	3	[1, 27]
	19	42	382	8	3	[9, 1]
	19	43	735	25	18	[27, 1]
	19	44	294	7	2	[1, 27]
	19	45	406	5	2	[9, 1]
	19	46	423	17	7	[9, 1]
	19	47	550	13	7	[27, 1]
	19	48	818	5	4	[9, 1]
	19	49	420	22	9	[1, 9]
	20	0	560	11	6	[1, 9]
	20	1	257	4	1	[9, 1]
	20	2	324	19	6	[1, 27]
	20	3	764	4	3	[9, 1]
	20	4	612	5	3	[9, 1]
	20	5	726	24	17	[27, 1]
	20	6	941	25	23	[27, 1]
	20	7	972	20	19	[9, 1]
	20	8	169	6	1	[1, 27]
	20	9	584	7	4	[1, 27]
	20	10	628	13	8	[27, 1]
	20	11	32	27	1	[1, 9]
	20	12	388	21	8	[9, 1]
	20	13	509	2	1	[1, 9]
	20	14	907	26	23	[1, 9]
	20	15	1012	1	1	[27, 1]
	20	16	401	23	9	[1, 9]
	20	17	989	27	26	[1, 9]
	20	18	783	17	13	[9, 1]
	20	19	34	27	1	[1, 9]
	20	20	65	16	1	[9, 1]
	20	21	230	9	2	[9, 1]
	20	22	203	5	1	[9, 1]
	20	23	491	25	12	[27, 1]
	20	24	668	23	15	[1, 9]
	20	25	37	27	1	[1, 9]
	20	26	116	26	3	[1, 9]
	20	27	782	17	13	[9, 1]
	20	28	819	5	4	[9, 1]
	20	29	784	17	13	[9, 1]
	20	30	705	16	11	[9, 1]
	20	31	159	13	2	[27, 1]
	20	32	423	17	7	[9, 1]
	20	33	428	12	5	[27, 1]
	20	34	624	23	14	[1, 9]
	20	35	620	23	14	[1, 9]
	20	36	801	23	18	[1, 9]
	20	37	937	12	11	[27, 1]
	20	38	710	13	9	[27, 1]
	20	39	262	27	7	[1, 9]
	20	40	164	25	4	[27, 1]
	20	41	173	6	1	[1, 27]
	20	42	783	17	13	[9, 1]
	20	43	543	17	9	[9, 1]
	20	44	1006	1	1	[27, 1]
	20	45	952	14	13	[1, 9]
	20	46	598	12	7	[27, 1]
	20	47	442	7	3	[1, 27]
	20	48	375	19	7	[1, 27]
	20	49	965	17	16	[9, 1]
	21	0	719	27	19	[1, 9]
	21	1	666	20	13	[9, 1]
	21	2	500	27	13	[1, 9]
	21	3	341	3	1	[1, 9]
	21	4	691	25	17	[27, 1]
	21	5	745	11	8	[1, 9]
	21	6	632	13	8	[27, 1]
	21	7	598	12	7	[27, 1]
	21	8	575	16	9	[9, 1]
	21	9	719	27	19	[1, 9]
	21	10	374	11	4	[1, 9]
	21	11	938	12	11	[27, 1]
	21	12	854	6	5	[1, 27]
	21	13	234	22	5	[1, 9]
	21	14	712	23	16	[1, 9]
	21	15	731	7	5	[1, 27]
	21	16	176	23	4	[1, 9]
	21	17	778	25	19	[27, 1]
	21	18	85	12	1	[27, 1]
	21	19	924	10	9	[1, 9]
	21	20	494	27	13	[1, 9]
	21	21	35	27	1	[1, 9]
	21	22	765	4	3	[9, 1]
	21	23	324	19	6	[1, 27]
	21	24	892	23	20	[1, 9]
	21	25	681	3	2	[1, 9]
	21	26	215	19	4	[1, 27]
	21	27	592	19	11	[1, 27]
	21	28	277	26	7	[1, 9]
	21	29	929	11	10	[1, 9]
	21	30	353	26	9	[1, 9]
	21	31	266	27	7	[1, 9]
	21	32	80	13	1	[27, 1]
	21	33	364	14	5	[1, 9]
	21	34	157	13	2	[27, 1]
	21	35	408	5	2	[9, 1]
	21	36	191	16	3	[9, 1]
	21	37	744	11	8	[1, 9]
	21	38	605	22	13	[1, 9]
	21	39	897	8	7	[9, 1]
	21	40	839	11	9	[1, 9]
	21	41	401	23	9	[1, 9]
	21	42	878	7	6	[1, 27]
	21	43	955	15	14	[1, 9]
	21	44	695	25	17	[27, 1]
	21	45	525	27	14	[1, 9]
	21	46	372	11	4	[1, 9]
	21	47	999	27	26	[1, 9]
	21	48	345	3	1	[1, 9]
	21	49	505	2	1	[1, 9]
	22	0	790	22	17	[1, 9]
	22	1	107	19	2	[1, 27]
	22	2	124	25	3	[27, 1]
	22	3	485	19	9	[1, 27]
	22	4	452	25	11	[27, 1]
	22	5	798	9	7	[9, 1]
	22	6	374	11	4	[1, 9]
	22	7	1003	27	26	[1, 9]
	22	8	921	10	9	[1, 9]
	22	9	782	17	13	[9, 1]
	22	10	596	12	7	[27, 1]
	22	11	864	19	16	[1, 27]
	22	12	614	5	3	[9, 1]
	22	13	170	6	1	[1, 27]
	22	14	790	22	17	[1, 9]
	22	15	540	19	10	[1, 27]
	22	16	132	23	3	[1, 9]
	22	17	925	21	19	[9, 1]
	22	18	552	13	7	[27, 1]
	22	19	808	19	15	[1, 27]
	22	20	452	25	11	[27, 1]
	22	21	346	3	1	[1, 9]
	22	22	461	20	9	[9, 1]
	22	23	762	27	20	[1, 9]
	22	24	984	26	25	[1, 9]
	22	25	970	19	18	[1, 27]
	22	26	629	13	8	[27, 1]
	22	27	758	27	20	[1, 9]
	22	28	278	11	3	[1, 9]
	22	29	60	17	1	[9, 1]
	22	30	773	4	3	[9, 1]
	22	31	758	27	20	[1, 9]
	22	32	210	24	5	[27, 1]
	22	33	587	7	4	[1, 27]
	22	34	235	13	3	[27, 1]
	22	35	730	7	5	[1, 27]
	22	36	834	27	22	[1, 9]
	22	37	116	26	3	[1, 9]
	22	38	1007	1	1	[27, 1]
	22	39	305	27	8	[1, 9]
	22	40	348	26	9	[1, 9]
	22	41	1007	1	1	[27, 1]
	22	42	347	3	1	[1, 9]
	22	43	737	25	18	[27, 1]
	22	44	23	27	1	[1, 9]
	22	45	244	21	5	[9, 1]
	22	46	594	19	11	[1, 27]
	22	47	120	17	2	[9, 1]
	22	48	270	19	5	[1, 27]
	22	49	389	21	8	[9, 1]
	23	0	924	10	9	[1, 9]
	23	1	488	21	10	[9, 1]
	23	2	292	7	2	[1, 27]
	23	3	253	4	1	[9, 1]
	23	4	892	23	20	[1, 9]
	23	5	579	23	13	[1, 9]
	23	6	38	27	1	[1, 9]
	23	7	818	5	4	[9, 1]
	23	8	744	11	8	[1, 9]
	23	9	690	25	17	[27, 1]
	23	10	319	16	5	[9, 1]
	23	11	148	7	1	[1, 27]
	23	12	603	17	10	[9, 1]
	23	13	252	4	1	[9, 1]
	23	14	189	27	5	[1, 9]
	23	15	61	17	1	[9, 1]
	23	16	233	22	5	[1, 9]
	23	17	123	25	3	[27, 1]
	23	18	609	27	16	[1, 9]
	23	19	871	20	17	[9, 1]
	23	20	544	17	9	[9, 1]
	23	21	618	5	3	[9, 1]
	23	22	275	26	7	[1, 9]
	23	23	304	27	8	[1, 9]
	23	24	866	13	11	[27, 1]
	23	25	415	27	11	[1, 9]
	23	26	102	10	1	[1, 9]
	23	27	328	25	8	[27, 1]
	23	28	98	21	2	[9, 1]
	23	29	176	23	4	[1, 9]
	23	30	415	27	11	[1, 9]
	23	31	278	11	3	[1, 9]
	23	32	694	25	17	[27, 1]
	23	33	152	27	4	[1, 9]
	23	34	347	3	1	[1, 9]
	23	35	21	27	1	[1, 9]
	23	36	133	23	3	[1, 9]
	23	37	156	13	2	[27, 1]
	23	38	711	23	16	[1, 9]
	23	39	618	5	3	[9, 1]
	23	40	725	24	17	[27, 1]
	23	41	92	11	1	[1, 9]
	23	42	302	17	5	[9, 1]
	23	43	572	25	14	[27, 1]
	23	44	15	1	0	[27, 1]
	23	45	490	23	11	[1, 9]
	23	46	91	23	2	[1, 9]
	23	47	647	19	12	[1, 27]
	23	48	1014	1	1	[27, 1]
	23	49	474	13	6	[27, 1]
	24	0	607	27	16	[1, 9]
	24	1	342	3	1	[1, 9]
	24	2	21	27	1	[1, 9]
	24	3	232	22	5	[1, 9]
	24	4	729	7	5	[1, 27]
	24	5	266	27	7	[1, 9]
	24	6	865	13	11	[27, 1]
	24	7	884	22	19	[1, 9]
	24	8	537	21	11	[9, 1]
	24	9	715	10	7	[1, 9]
	24	10	177	23	4	[1, 9]
	24	11	609	27	16	[1, 9]
	24	12	667	23	15	[1, 9]
	24	13	614	5	3	[9, 1]
	24	14	448	16	7	[9, 1]
	24	15	440	7	3	[1, 27]
	24	16	1012	1	1	[27, 1]
	24	17	720	27	19	[1, 9]
	24	18	567	9	5	[9, 1]
	24	19	855	6	5	[1, 27]
	24	20	825	26	21	[1, 9]
	24	21	126	8	1	[9, 1]
	24	22	623	23	14	[1, 9]
	24	23	205	5	1	[9, 1]
	24	24	750	15	11	[1, 9]
	24	25	119	26	3	[1, 9]
	24	26	10	1	0	[27, 1]
	24	27	854	6	5	[1, 27]
	24	28	191	16	3	[9, 1]
	24	29	42	24	1	[27, 1]
	24	30	95	11	1	[1, 9]
	24	31	547	15	8	[1, 9]
	24	32	831	16	13	[9, 1]
	24	33	332	25	8	[27, 1]
	24	34	963	17	16	[9, 1]
	24	35	602	17	10	[9, 1]
	24	36	77	27	2	[1, 9]
	24	37	499	27	13	[1, 9]
	24	38	528	27	14	[1, 9]
	24	39	360	17	6	[9, 1]
	24	40	248	25	6	[27, 1]
	24	41	165	25	4	[27, 1]
	24	42	687	3	2	[1, 9]
	24	43	917	19	17	[1, 27]
	24	44	597	12	7	[27, 1]
	24	45	142	22	3	[1, 9]
	24	46	634	21	13	[9, 1]
	24	47	742	18	13	[1, 27]
	24	48	804	14	11	[1, 9]
	24	49	22	27	1	[1, 9]
	25	0	565	20	11	[9, 1]
	25	1	517	2	1	[1, 9]
	25	2	833	16	13	[9, 1]
	25	3	2	1	0	[27, 1]
	25	4	121	17	2	[9, 1]
	25	5	504	2	1	[1, 9]
	25	6	944	13	12	[27, 1]
	25	7	229	9	2	[9, 1]
	25	8	119	26	3	[1, 9]
	25	9	681	3	2	[1, 9]
	25	10	782	17	13	[9, 1]
	25	11	322	19	6	[1, 27]
	25	12	908	26	23	[1, 9]
	25	13	971	19	18	[1, 27]
	25	14	677	3	2	[1, 9]
	25	15	483	17	8	[9, 1]
	25	16	742	18	13	[1, 27]
	25	17	40	26	1	[1, 9]
	25	18	407	5	2	[9, 1]
	25	19	655	25	16	[27, 1]
	25	20	625	18	11	[1, 27]
	25	21	816	5	4	[9, 1]
	25	22	773	4	3	[9, 1]
	25	23	141	22	3	[1, 9]
	25	24	509	2	1	[1, 9]
	25	25	669	26	17	[1, 9]
	25	26	862	19	16	[1, 27]
	25	27	241	17	4	[9, 1]
	25	28	412	5	2	[9, 1]
	25	29	968	18	17	[1, 27]
	25	30	496	27	13	[1, 9]
	25	31	414	27	11	[1, 9]
	25	32	203	5	1	[9, 1]
	25	33	705	16	11	[9, 1]
	25	34	387	8	3	[9, 1]
	25	35	52	20	1	[9, 1]
	25	36	88	23	2	[1, 9]
	25	37	640	8	5	[9, 1]
	25	38	354	26	9	[1, 9]
	25	39	772	4	3	[9, 1]
	25	40	978	22	21	[1, 9]
	25	41	567	9	5	[9, 1]
	25	42	433	26	11	[1, 9]
	25	43	472	13	6	[27, 1]
	25	44	337	3	1	[1, 9]
	25	45	584	7	4	[1, 27]
	25	46	319	16	5	[9, 1]
	25	47	84	12	1	[27, 1]
	25	48	888	15	13	[1, 9]
	25	49	933	23	21	[1, 9]
	26	0	393	13	5	[27, 1]
	26	1	930	11	10	[1, 9]
	26	2	143	7	1	[1, 27]
	26	3	782	17	13	[9, 1]
	26	4	829	21	17	[9, 1]
	26	5	204	5	1	[9, 1]
	26	6	536	21	11	[9, 1]
	26	7	524	27	14	[1, 9]
	26	8	61	17	1	[9, 1]
	26	9	215	19	4	[1, 27]
	26	10	970	19	18	[1, 27]
	26	11	474	13	6	[27, 1]
	26	12	99	21	2	[9, 1]
	26	13	789	13	10	[27, 1]
	26	14	271	19	5	[1, 27]
	26	15	370	25	9	[27, 1]
	26	16	536	21	11	[9, 1]
	26	17	738	25	18	[27, 1]
	26	18	118	26	3	[1, 9]
	26	19	530	27	14	[1, 9]
	26	20	625	18	11	[1, 27]
	26	21	368	25	9	[27, 1]
	26	22	337	3	1	[1, 9]
	26	23	435	26	11	[1, 9]
	26	24	197	26	5	[1, 9]
	26	25	448	16	7	[9, 1]
	26	26	16	1	0	[27, 1]
	26	27	321	16	5	[9, 1]
	26	28	797	9	7	[9, 1]
	26	29	956	15	14	[1, 9]
	26	30	427	12	5	[27, 1]
	26	31	141	22	3	[1, 9]
	26	32	376	19	7	[1, 27]
	26	33	518	2	1	[1, 9]
	26	34	766	4	3	[9, 1]
	26	35	827	26	21	[1, 9]
	26	36	452	25	11	[27, 1]
	26	37	675	26	17	[1, 9]
	26	38	446	23	10	[1, 9]
	26	39	148	7	1	[1, 27]
	26	40	348	26	9	[1, 9]
	26	41	251	4	1	[9, 1]
	26	42	338	3	1	[1, 9]
	26	43	1000	27	26	[1, 9]
	26	44	799	23	18	[1, 9]
	26	45	419	22	9	[1, 9]
	26	46	540	19	10	[1, 27]
	26	47	714	23	16	[1, 9]
	26	48	289	25	7	[27, 1]
	26	49	608	27	16	[1, 9]
	27	0	437	7	3	[1, 27]
	27	1	144	7	1	[1, 27]
	27	2	515	2	1	[1, 9]
	27	3	68	15	1	[1, 9]
	27	4	962	17	16	[9, 1]
	27	5	5	1	0	[27, 1]
	27	6	719	27	19	[1, 9]
	27	7	829	21	17	[9, 1]
	27	8	682	3	2	[1, 9]
	27	9	520	2	1	[1, 9]
	27	10	27	27	1	[1, 9]
	27	11	1017	1	1	[27, 1]
	27	12	88	23	2	[1, 9]
	27	13	126	8	1	[9, 1]
	27	14	74	14	1	[1, 9]
	27	15	907	26	23	[1, 9]
	27	16	712	23	16	[1, 9]
	27	17	914	19	17	[1, 27]
	27	18	741	18	13	[1, 27]
	27	19	690	25	17	[27, 1]
	27	20	317	13	4	[27, 1]
	27	21	883	22	19	[1, 9]
	27	22	222	23	5	[1, 9]
	27	23	222	23	5	[1, 9]
	27	24	462	20	9	[9, 1]
	27	25	1022	1	1	[27, 1]
	27	26	916	19	17	[1, 27]
	27	27	821	5	4	[9, 1]
	27	28	239	17	4	[9, 1]
	27	29	447	16	7	[9, 1]
	27	30	8	1	0	[27, 1]
	27	31	72	14	1	[1, 9]
	27	32	199	26	5	[1, 9]
	27	33	315	13	4	[27, 1]
	27	34	435	26	11	[1, 9]
	27	35	312	23	7	[1, 9]
	27	36	8	1	0	[27, 1]
	27	37	970	19	18	[1, 27]
	27	38	601	17	10	[9, 1]
	27	39	140	22	3	[1, 9]
	27	40	977	22	21	[1, 9]
	27	41	848	23	19	[1, 9]
	27	42	82	25	2	[27, 1]
	27	43	117	26	3	[1, 9]
	27	44	132	23	3	[1, 9]
	27	45	64	16	1	[9, 1]
	27	46	312	23	7	[1, 9]
	27	47	130	8	1	[9, 1]
	27	48	364	14	5	[1, 9]
	27	49	125	25	3	[27, 1]
	28	0	546	15	8	[1, 9]
	28	1	855	6	5	[1, 27]
	28	2	159	13	2	[27, 1]
	28	3	66	16	1	[9, 1]
	28	4	708	13	9	[27, 1]
	28	5	770	4	3	[9, 1]
	28	6	601	17	10	[9, 1]
	28	7	944	13	12	[27, 1]
	28	8	504	2	1	[1, 9]
	28	9	183	17	3	[9, 1]
	28	10	445	23	10	[1, 9]
	28	11	159	13	2	[27, 1]
	28	12	229	9	2	[9, 1]
	28	13	823	5	4	[9, 1]
	28	14	284	18	5	[1, 27]
	28	15	535	23	12	[1, 9]
	28	16	745	11	8	[1, 9]
	28	17	411	5	2	[9, 1]
	28	18	900	25	22	[27, 1]
	28	19	81	25	2	[27, 1]
	28	20	266	27	7	[1, 9]
	28	21	314	13	4	[27, 1]
	28	22	995	27	26	[1, 9]
	28	23	573	25	14	[27, 1]
	28	24	462	20	9	[9, 1]
	28	25	928	21	19	[9, 1]
	28	26	512	2	1	[1, 9]
	28	27	55	19	1	[1, 27]
	28	28	489	23	11	[1, 9]
	28	29	559	11	6	[1, 9]
	28	30	347	3	1	[1, 9]
	28	31	448	16	7	[9, 1]
	28	32	818	5	4	[9, 1]
	28	33	491	25	12	[27, 1]
	28	34	349	26	9	[1, 9]
	28	35	814	24	19	[27, 1]
	28	36	307	10	3	[1, 9]
	28	37	330	25	8	[27, 1]
	28	38	210	24	5	[27, 1]
	28	39	597	12	7	[27, 1]
	28	40	149	27	4	[1, 9]
	28	41	898	8	7	[9, 1]
	28	42	630	13	8	[27, 1]
	28	43	169	6	1	[1, 27]
	28	44	760	27	20	[1, 9]
	28	45	930	11	10	[1, 9]
	28	46	10	1	0	[27, 1]
	28	47	919	10	9	[1, 9]
	28	48	343	3	1	[1, 9]
	28	49	813	24	19	[27, 1]
	29	0	926	21	19	[9, 1]
	29	1	819	5	4	[9, 1]
	29	2	709	13	9	[27, 1]
	29	3	548	15	8	[1, 9]
	29	4	212	24	5	[27, 1]
	29	5	810	24	19	[27, 1]
	29	6	478	15	7	[1, 9]
	29	7	130	8	1	[9, 1]
	29	8	186	11	2	[1, 9]
	29	9	244	21	5	[9, 1]
	29	10	108	19	2	[1, 27]
	29	11	141	22	3	[1, 9]
	29	12	806	14	11	[1, 9]
	29	13	141	22	3	[1, 9]
	29	14	559	11	6	[1, 9]
	29	15	376	19	7	[1, 27]
	29	16	875	27	23	[1, 9]
	29	17	444	23	10	[1, 9]
	29	18	746	11	8	[1, 9]
	29	19	851	6	5	[1, 27]
	29	20	345	3	1	[1, 9]
	29	21	240	17	4	[9, 1]
	29	22	71	14	1	[1, 9]
	29	23	884	22	19	[1, 9]
	29	24	319	16	5	[9, 1]
	29	25	1002	27	26	[1, 9]
	29	26	937	12	11	[27, 1]
	29	27	862	19	16	[1, 27]
	29	28	681	3	2	[1, 9]
	29	29	165	25	4	[27, 1]
	29	30	573	25	14	[27, 1]
	29	31	538	19	10	[1, 27]
	29	32	578	23	13	[1, 9]
	29	33	933	23	21	[1, 9]
	29	34	485	19	9	[1, 27]
	29	35	408	5	2	[9, 1]
	29	36	234	22	5	[1, 9]
	29	37	640	8	5	[9, 1]
	29	38	417	27	11	[1, 9]
	29	39	595	19	11	[1, 27]
	29	40	213	24	5	[27, 1]
	29	41	514	2	1	[1, 9]
	29	42	449	16	7	[9, 1]
	29	43	901	25	22	[27, 1]
	29	44	221	14	3	[1, 9]
	29	45	201	5	1	[9, 1]
	29	46	244	21	5	[9, 1]
	29	47	616	5	3	[9, 1]
	29	48	60	17	1	[9, 1]
	29	49	255	4	1	[9, 1]
	30	0	1004	27	26	[1, 9]
	30	1	681	3	2	[1, 9]
	30	2	654	25	16	[27, 1]
	30	3	1015	1	1	[27, 1]
	30	4	965	17	16	[9, 1]
	30	5	403	23	9	[1, 9]
	30	6	70	15	1	[1, 9]
	30	7	554	24	13	[27, 1]
	30	8	119	26	3	[1, 9]
	30	9	850	6	5	[1, 27]
	30	10	805	14	11	[1, 9]
	30	11	857	25	21	[27, 1]
	30	12	734	7	5	[1, 27]
	30	13	193	16	3	[9, 1]
	30	14	615	5	3	[9, 1]
	30	15	53	19	1	[1, 27]
	30	16	807	19	15	[1, 27]
	30	17	984	26	25	[1, 9]
	30	18	922	10	9	[1, 9]
	30	19	857	25	21	[27, 1]
	30	20	752	15	11	[1, 9]
	30	21	518	2	1	[1, 9]
	30	22	277	26	7	[1, 9]
	30	23	571	9	5	[9, 1]
	30	24	670	26	17	[1, 9]
	30	25	13	1	0	[27, 1]
	30	26	82	25	2	[27, 1]
	30	27	441	7	3	[1, 27]
	30	28	757	23	17	[1, 9]
	30	29	827	26	21	[1, 9]
	30	30	514	2	1	[1, 9]
	30	31	382	8	3	[9, 1]
	30	32	388	21	8	[9, 1]
	30	33	344	3	1	[1, 9]
	30	34	37	27	1	[1, 9]
	30	35	509	2	1	[1, 9]
	30	36	409	5	2	[9, 1]
	30	37	827	26	21	[1, 9]
	30	38	628	13	8	[27, 1]
	30	39	903	17	15	[9, 1]
	30	40	719	27	19	[1, 9]
	30	41	744	11	8	[1, 9]
	30	42	550	13	7	[27, 1]
	30	43	92	11	1	[1, 9]
	30	44	311	23	7	[1, 9]
	30	45	904	17	15	[9, 1]
	30	46	817	5	4	[9, 1]
	30	47	955	15	14	[1, 9]
	30	48	642	8	5	[9, 1]
